Separation_Bohr,Overlap,BondingEnergy_eV,AntibondingEnergy_eV
0.5,0.96034,15.7459,50.0346
0.55,0.952448,11.1402,43.9849
0.6,0.943956,7.36807,38.8435
0.65,0.934897,4.23719,34.4128
0.7,0.925304,1.60973,30.5507
0.75,0.91521,-0.615626,27.1515
0.8,0.904649,-2.51503,24.1354
0.85,0.893653,-4.14686,21.4404
0.9,0.882256,-5.55664,19.0178
0.95,0.87049,-6.78035,16.8286
1,0.858385,-7.84685,14.8411
1.05,0.845974,-8.77952,13.0295
1.1,0.833287,-9.59753,11.3721
1.15,0.820353,-10.3167,9.85103
1.2,0.807201,-10.9503,8.45089
1.25,0.793857,-11.5093,7.15872
1.3,0.780349,-12.0031,5.96335
1.35,0.766703,-12.4397,4.85512
1.4,0.752943,-12.826,3.82564
1.45,0.739092,-13.1677,2.86758
1.5,0.725173,-13.47,1.97449
1.55,0.711208,-13.7373,1.14067
1.6,0.697216,-13.9734,0.361065
1.65,0.683218,-14.1816,-0.368811
1.7,0.669231,-14.365,-1.05298
1.75,0.655273,-14.526,-1.69505
1.8,0.64136,-14.6671,-2.29826
1.85,0.627508,-14.7902,-2.86553
1.9,0.61373,-14.8972,-3.39953
1.95,0.600041,-14.9896,-3.90264
2,0.586453,-15.0689,-4.37705
2.05,0.572978,-15.1364,-4.82477
2.1,0.559626,-15.1932,-5.2476
2.15,0.546408,-15.2405,-5.64721
2.2,0.533333,-15.279,-6.02514
2.25,0.520409,-15.3097,-6.38279
2.3,0.507644,-15.3333,-6.72145
2.35,0.495046,-15.3505,-7.04232
2.4,0.48262,-15.362,-7.3465
2.45,0.470372,-15.3682,-7.635
2.5,0.458308,-15.3698,-7.90877
2.55,0.446432,-15.3672,-8.16869
2.6,0.434748,-15.3607,-8.41557
2.65,0.42326,-15.3509,-8.65016
2.7,0.41197,-15.338,-8.87317
2.75,0.400881,-15.3225,-9.08525
2.8,0.389996,-15.3045,-9.28702
2.85,0.379314,-15.2843,-9.47904
2.9,0.368839,-15.2623,-9.66185
2.95,0.358571,-15.2386,-9.83595
3,0.34851,-15.2134,-10.0018
3.05,0.338656,-15.187,-10.1599
3.1,0.32901,-15.1594,-10.3105
3.15,0.31957,-15.131,-10.4542
3.2,0.310337,-15.1017,-10.5912
3.25,0.301308,-15.0718,-10.7219
3.3,0.292484,-15.0414,-10.8466
3.35,0.283862,-15.0106,-10.9656
3.4,0.275441,-14.9794,-11.0792
3.45,0.267219,-14.9481,-11.1877
3.5,0.259195,-14.9166,-11.2914
3.55,0.251365,-14.885,-11.3904
3.6,0.243728,-14.8535,-11.4849
3.65,0.236281,-14.8221,-11.5753
3.7,0.229023,-14.7908,-11.6617
3.75,0.221949,-14.7597,-11.7443
3.8,0.215058,-14.7289,-11.8232
3.85,0.208347,-14.6983,-11.8987
3.9,0.201812,-14.6681,-11.9709
3.95,0.195452,-14.6383,-12.0399
4,0.189262,-14.6089,-12.106
4.05,0.18324,-14.5799,-12.1692
4.1,0.177383,-14.5513,-12.2297
4.15,0.171688,-14.5232,-12.2875
4.2,0.166151,-14.4956,-12.3429
4.25,0.16077,-14.4686,-12.3959
4.3,0.155541,-14.442,-12.4467
4.35,0.150461,-14.416,-12.4953
4.4,0.145528,-14.3905,-12.5418
4.45,0.140737,-14.3656,-12.5863
4.5,0.136085,-14.3412,-12.629
4.55,0.131571,-14.3174,-12.6698
4.6,0.127189,-14.2941,-12.7089
4.65,0.122938,-14.2714,-12.7464
4.7,0.118815,-14.2493,-12.7823
4.75,0.114815,-14.2278,-12.8167
4.8,0.110937,-14.2067,-12.8496
4.85,0.107177,-14.1863,-12.8812
4.9,0.103532,-14.1664,-12.9114
4.95,0.1,-14.147,-12.9404
5,0.0965772,-14.1282,-12.9681
5.05,0.0932611,-14.11,-12.9947
5.1,0.0900489,-14.0922,-13.0202
5.15,0.0869378,-14.075,-13.0447
5.2,0.0839252,-14.0582,-13.0681
5.25,0.0810085,-14.042,-13.0905
5.3,0.0781849,-14.0263,-13.112
5.35,0.075452,-14.0111,-13.1326
5.4,0.0728072,-13.9963,-13.1523
5.45,0.070248,-13.982,-13.1713
5.5,0.0677722,-13.9681,-13.1894
5.55,0.0653772,-13.9547,-13.2068
5.6,0.0630608,-13.9418,-13.2235
5.65,0.0608206,-13.9292,-13.2394
5.7,0.0586546,-13.9171,-13.2547
5.75,0.0565605,-13.9054,-13.2694
5.8,0.0545362,-13.894,-13.2835
5.85,0.0525796,-13.8831,-13.297
5.9,0.0506887,-13.8725,-13.3099
5.95,0.0488615,-13.8623,-13.3223
6,0.0470961,-13.8524,-13.3342
6.05,0.0453906,-13.8429,-13.3455
6.10001,0.0437432,-13.8337,-13.3564
6.15001,0.0421521,-13.8249,-13.3669
6.20001,0.0406155,-13.8164,-13.3769
6.25001,0.0391317,-13.8081,-13.3865
6.30001,0.0376992,-13.8002,-13.3957
6.35001,0.0363162,-13.7925,-13.4046
6.40001,0.0349812,-13.7852,-13.413
6.45001,0.0336926,-13.7781,-13.4211
6.50001,0.0324491,-13.7712,-13.4289
6.55001,0.0312491,-13.7647,-13.4363
6.60001,0.0300912,-13.7583,-13.4435
6.65001,0.0289741,-13.7522,-13.4503
6.70001,0.0278964,-13.7463,-13.4569
6.75001,0.0268569,-13.7407,-13.4632
6.80001,0.0258543,-13.7352,-13.4692
6.85001,0.0248873,-13.73,-13.475
6.90001,0.0239549,-13.725,-13.4805
6.95001,0.0230558,-13.7201,-13.4858
7.00001,0.022189,-13.7155,-13.4909
7.05001,0.0213533,-13.711,-13.4957
7.10001,0.0205477,-13.7067,-13.5004
7.15001,0.0197712,-13.7026,-13.5049
7.20001,0.0190229,-13.6986,-13.5091
7.25001,0.0183017,-13.6948,-13.5132
7.30001,0.0176067,-13.6911,-13.5172
7.35001,0.016937,-13.6876,-13.5209
7.40001,0.0162918,-13.6842,-13.5246
7.45001,0.0156702,-13.681,-13.528
7.50001,0.0150714,-13.6778,-13.5313
7.55001,0.0144947,-13.6748,-13.5345
7.60001,0.0139391,-13.672,-13.5375
7.65001,0.0134041,-13.6692,-13.5404
7.70001,0.0128889,-13.6666,-13.5432
7.75001,0.0123927,-13.664,-13.5459
7.80001,0.011915,-13.6616,-13.5485
7.85001,0.011455,-13.6592,-13.5509
7.90001,0.0110122,-13.657,-13.5533
7.95001,0.0105859,-13.6548,-13.5555
8.00001,0.0101756,-13.6528,-13.5577
8.05001,0.00978064,-13.6508,-13.5597
8.10001,0.00940051,-13.6489,-13.5617
8.15001,0.00903468,-13.647,-13.5636
8.20001,0.00868262,-13.6453,-13.5654
